shell,n_in_shell,r_mpc,phi_tick,theta_tick,omega,trichter_depth,x,y,z,alpha,delta_phi_tick
5,13,2500.0,110135.8023818573,31579.656334729378,0.3394317645564466,0.02325534449188732,1465.9292666130063,-2022.6642277864669,98.59317633256323,1.5,0.0
5,13,2500.0,9169.802381857298,28710.313301891576,0.3394317645564466,0.02325534449188732,2220.981074626907,1058.0060975676306,441.2009294015446,1.5,0.0
5,13,2500.0,89903.8023818573,25861.53358688669,0.3394317645564466,0.02325534449188732,-822.8505693851446,-2228.3719120852434,772.9360334659291,1.5,0.0
5,13,2500.0,12709.802381857298,38922.158824010236,0.3394317645564466,0.02325534449188732,1939.069703988395,1373.1922788213762,-771.0730200961374,1.5,0.0
5,13,2500.0,82994.8023818573,31683.5758953045,0.3394317645564466,0.02325534449188732,-1587.8524985701204,-1929.0379714951935,86.10896943914423,1.5,0.0
5,13,2500.0,29402.8023818573,27578.28650968273,0.3394317645564466,0.02325534449188732,352.147913221036,2406.3737955070615,574.386656220814,1.5,0.0
5,13,2500.0,55924.8023818573,29256.49731124057,0.3394317645564466,0.02325534449188732,-2245.7853917962602,1030.7302583074757,376.44097928909054,1.5,0.0
5,13,2500.0,24523.8023818573,33683.35701685872,0.3394317645564466,0.02325534449188732,929.7893538173902,2315.454169803431,-154.18168032938868,1.5,0.0
5,13,2500.0,129298.8023818573,27163.719083615553,0.3394317645564466,0.02325534449188732,2419.6162784870135,-35.33489195549631,622.7498759968619,1.5,0.0
5,13,2500.0,64286.8023818573,38177.151402296484,0.3394317645564466,0.02325534449188732,-2401.8368029761928,59.77128907464915,-685.4663809328293,1.5,0.0
5,13,2500.0,90847.8023818573,36588.0163833304,0.3394317645564466,0.02325534449188732,-742.2291180214443,-2333.4432826536467,-500.0181662215086,1.5,0.0
6,13,3000.0,50643.92507361993,24974.14961656266,0.2824834056760301,0.03337314420999549,-2171.9948476905465,1779.177577884126,1044.5210704417295,1.5,0.0
6,13,3000.0,80023.92507361993,32302.651271761206,0.2824834056760301,0.03337314420999549,-2219.2674017646077,-2018.5766592765367,13.993363367550094,1.5,0.0
6,13,3000.0,72744.92507361993,29643.751639791124,0.2824834056760301,0.03337314420999549,-2755.406741785088,-1117.1316391903079,395.0195162976721,1.5,0.0
6,13,3000.0,42780.92507361993,26641.29185962996,0.2824834056760301,0.03337314420999549,-1390.882296679054,2526.2544496729915,817.0747313532821,1.5,0.0
6,13,3000.0,26784.925073619932,25975.128077105335,0.2824834056760301,0.03337314420999549,767.8140537867235,2750.4771688867877,908.6826570818831,1.5,0.0
6,13,3000.0,68080.92507361993,33819.84206927894,0.2824834056760301,0.03337314420999549,-2955.1129712632305,-474.05614478263624,-203.93438246265657,1.5,0.0
6,13,3000.0,4954.925073619932,27063.606090297555,0.2824834056760301,0.03337314420999549,2816.880864873365,689.9992762580964,758.5524856329205,1.5,0.0
6,13,3000.0,62480.92507361993,39286.94591770411,0.2824834056760301,0.03337314420999549,-2816.429997752945,317.99770709411575,-971.6740604046271,1.5,0.0
6,13,3000.0,128653.92507361993,33713.1904631464,0.2824834056760301,0.03337314420999549,2990.7734252375567,-137.27410337956226,-188.63737175961745,1.5,0.0
6,13,3000.0,71001.92507361993,29919.29083346436,0.2824834056760301,0.03337314420999549,-2844.7096030623165,-882.08492835282,355.7310851886727,1.5,0.0
6,13,3000.0,68266.92507361993,33872.83096199895,0.2824834056760301,0.03337314420999549,-2950.1857036386273,-500.5940106892892,-211.53256296622808,1.5,0.0
6,13,3000.0,127324.92507361993,24669.4227106811,0.2824834056760301,0.03337314420999549,2774.789921114811,-307.3030549862797,1085.400481205872,1.5,0.0
6,13,3000.0,84951.92507361993,39828.65925451141,0.2824834056760301,0.03337314420999549,-1570.8620754285162,-2326.93328558224,-1044.8989379702355,1.5,0.0
7,13,3500.0,43804.19473964162,33561.99444849242,0.24101827383871152,0.04524120811394666,-1835.1079611245707,2973.8094718637367,-193.94803998170855,1.5,0.0
7,13,3500.0,44108.19473964162,31970.52829712265,0.24101827383871152,0.04524120811394666,-1881.3133594142416,2950.4830235802087,71.71570230966556,1.5,0.0
7,13,3500.0,52422.19473964162,28625.005742088677,0.24101827383871152,0.04524120811394666,-2840.250594450878,1943.5074966015475,626.9027899409164,1.5,0.0
